Date and Time,Humidity,Temperature,CO2,CO,PM2.5 Density
2024-07-03 23:59:52,79,31.3000,247.4507,0.1971,15.5324
2024-07-04 0:00:12,79,31.3000,248.4347,0.1982,5.1759
2024-07-04 0:00:32,79,31.3000,247.2278,0.1969,13.3830
2024-07-04 0:00:52,79,31.3000,247.7569,0.1975,26.4751
2024-07-04 0:01:12,79,31.3000,248.0439,0.1978,0.0000
2024-07-04 0:01:32,79,31.3000,246.5829,0.1962,5.1759
2024-07-04 0:01:52,79,31.3000,246.9972,0.1967,24.9119
2024-07-04 0:02:12,79,31.3000,248.2221,0.1980,20.4175
2024-07-04 0:02:32,79,31.3000,244.6941,0.1942,15.7278
2024-07-04 0:02:52,79,31.3000,246.6883,0.1963,0.0000
2024-07-04 0:03:12,79,31.3000,246.6170,0.1962,16.7048
2024-07-04 0:03:32,79,31.3000,248.3250,0.1981,15.5324
2024-07-04 0:03:52,79,31.3000,251.1703,0.2012,15.5324
2024-07-04 0:04:12,79,31.3000,248.3578,0.1981,18.4635
2024-07-04 0:04:32,79,31.3000,249.0162,0.1989,19.6359
2024-07-04 0:04:52,79,31.3000,249.0162,0.1989,23.5440
2024-07-04 0:05:12,79,31.3000,248.5336,0.1983,15.7278
2024-07-04 0:05:32,79,31.3000,249.0992,0.1990,18.6589
2024-07-04 0:05:52,79,31.3000,251.9530,0.2021,16.3140
2024-07-04 0:06:12,79,31.3000,250.9689,0.2010,18.2681
2024-07-04 0:06:32,79,31.3000,249.1890,0.1991,13.3830
2024-07-04 0:06:52,79,31.3000,246.7741,0.1964,18.0727
2024-07-04 0:07:12,79,31.3000,248.0591,0.1978,0.0000
2024-07-04 0:07:32,79,31.3000,248.4018,0.1982,21.7854
2024-07-04 0:07:52,79,31.3000,249.1543,0.1990,12.4059
2024-07-04 0:08:12,79,31.3000,250.8314,0.2009,9.4749
2024-07-04 0:08:32,79,31.3000,249.6999,0.1997,23.9348
2024-07-04 0:08:52,79,31.3000,251.1740,0.2013,23.1532
2024-07-04 0:09:12,79,31.3000,250.2315,0.2003,13.5784
2024-07-04 0:09:32,79,31.3000,250.8593,0.2009,24.3256
2024-07-04 0:09:52,79,31.3000,251.9385,0.2021,29.4062
2024-07-04 0:10:12,79,31.3000,251.4559,0.2016,12.4059
2024-07-04 0:10:32,79,31.3000,247.9881,0.1978,15.3370
2024-07-04 0:10:52,79,31.3000,249.2646,0.1992,14.3600
2024-07-04 0:11:12,79,31.3000,247.0727,0.1967,15.7278
2024-07-04 0:11:32,79,31.3000,248.2589,0.1980,12.0151
2024-07-04 0:11:52,79,31.3000,249.5960,0.1995,3.0265
2024-07-04 0:12:12,79,31.3000,246.6652,0.1963,0.0000
2024-07-04 0:12:32,79,31.3000,246.8795,0.1965,13.1876
2024-07-04 0:12:52,79,31.3000,248.4114,0.1982,19.2451
2024-07-04 0:13:12,79,31.3000,251.7351,0.2019,22.1762
2024-07-04 0:13:32,79,31.3000,250.7338,0.2008,4.7851
2024-07-04 0:13:52,79,31.3000,250.7338,0.2008,21.3946
2024-07-04 0:14:12,79,31.3000,248.9790,0.1989,15.9232
2024-07-04 0:14:32,79,31.3000,248.7011,0.1986,11.2335
2024-07-04 0:14:52,79,31.3000,245.5695,0.1952,15.5324
2024-07-04 0:15:12,79,31.3000,245.7076,0.1953,20.4175
2024-07-04 0:15:32,79,31.3000,246.1832,0.1958,12.6013
2024-07-04 0:15:52,79,31.3000,243.7326,0.1932,18.4635
2024-07-04 0:16:12,79,31.3000,243.8080,0.1933,22.1762
2024-07-04 0:16:32,79,31.3000,239.8038,0.1888,10.4519
2024-07-04 0:16:52,79,31.3000,240.6013,0.1897,15.5324
2024-07-04 0:17:12,79,31.3000,240.6013,0.1897,26.6705
2024-07-04 0:17:32,79,31.3000,241.5680,0.1907,25.3027
2024-07-04 0:17:52,79,31.3000,241.2253,0.1904,15.3370
2024-07-04 0:18:12,79,31.3000,242.5277,0.1918,23.7394
2024-07-04 0:18:32,79,31.3000,242.5971,0.1918,18.0727
2024-07-04 0:18:52,79,31.3000,243.1528,0.1924,7.5208
2024-07-04 0:19:12,79,31.3000,244.0079,0.1934,8.8886
2024-07-04 0:19:32,79,31.3000,240.9611,0.1900,9.6703
2024-07-04 0:19:52,79,31.3000,244.4960,0.1939,12.9921
2024-07-04 0:20:12,79,31.3000,242.6779,0.1920,22.3716
2024-07-04 0:20:32,79,31.3000,245.9142,0.1956,9.4749
2024-07-04 0:20:52,79,31.3000,242.4549,0.1919,19.2451
2024-07-04 0:21:12,79,31.3000,240.9418,0.1903,22.9578
2024-07-04 0:21:32,79,31.3000,240.5226,0.1898,23.1532
2024-07-04 0:21:52,79,31.3000,244.0254,0.1937,20.8084
2024-07-04 0:22:12,79,31.3000,243.4697,0.1931,21.0038
2024-07-04 0:22:32,79,31.3000,244.6385,0.1944,20.0267
2024-07-04 0:22:52,79,31.3000,244.9059,0.1947,18.2681
2024-07-04 0:23:12,79,31.3000,242.4694,0.1920,35.6591
2024-07-04 0:23:32,79,31.3000,245.8248,0.1956,8.3024
2024-07-04 0:23:52,79,31.3000,244.9192,0.1945,12.4059
2024-07-04 0:24:12,79,31.3000,249.6074,0.1996,10.6473
2024-07-04 0:24:32,79,31.3000,249.8633,0.1998,14.3600
2024-07-04 0:24:52,79,31.3000,247.4977,0.1973,10.2565
2024-07-04 0:25:12,79,31.3000,242.5805,0.1919,23.5440
2024-07-04 0:25:32,79,31.3000,243.7052,0.1931,20.0267
2024-07-04 0:25:52,79,31.3000,244.9341,0.1945,24.5211
2024-07-04 0:26:12,79,31.3000,247.7891,0.1976,21.7854
2024-07-04 0:26:32,79,31.3000,248.0719,0.1979,23.1532
2024-07-04 0:26:52,79,31.3000,245.9338,0.1956,28.0383
2024-07-04 0:27:12,79,31.3000,243.6032,0.1931,15.5324
2024-07-04 0:27:32,79,31.3000,241.3399,0.1906,20.0267
2024-07-04 0:27:52,79,31.3000,243.3578,0.1928,18.4635
2024-07-04 0:28:12,79,31.3000,243.7349,0.1931,9.2795
2024-07-04 0:28:32,79,31.3000,246.5803,0.1962,21.7854
2024-07-04 0:28:52,79,31.3000,245.0475,0.1946,21.1992
2024-07-04 0:29:12,79,31.3000,244.2452,0.1937,9.8657
2024-07-04 0:29:32,79,31.3000,243.2800,0.1926,21.0038
2024-07-04 0:29:52,79,31.3000,240.7234,0.1899,21.1992
2024-07-04 0:30:12,79,31.3000,238.8921,0.1879,27.6475
2024-07-04 0:30:32,79,31.3000,240.2062,0.1894,12.7967
2024-07-04 0:30:52,79,31.3000,240.3414,0.1895,16.3140
2024-07-04 0:31:12,79,31.3000,239.9926,0.1891,15.5324
2024-07-04 0:31:32,79,31.3000,243.2613,0.1927,15.5324
2024-07-04 0:31:52,79,31.3000,241.4172,0.1906,15.5324
2024-07-04 0:32:12,79,31.3000,240.6873,0.1899,14.5554
2024-07-04 0:32:32,79,31.3000,241.3417,0.1906,15.5324
2024-07-04 0:32:52,79,31.3000,239.6546,0.1887,5.1759
2024-07-04 0:33:12,79,31.3000,241.2358,0.1904,20.4175
2024-07-04 0:33:32,79,31.3000,243.8036,0.1931,12.2105
2024-07-04 0:33:52,79,31.3000,244.3066,0.1937,21.7854
2024-07-04 0:34:12,79,31.3000,243.8366,0.1932,9.8657
